campaign_full_date,age_td,policy,family,votes_required,CAGR,MDD,Return,WinWait,DiffCAGR
2009-04-22,756,L25_50_PB5_W9_K3,W9,3,0.14698737128129347,-0.3124366401792579,1.495909269512444,True,0.1421044354254517
2009-04-22,756,L25_50_PB5_W9_K5,W9,5,0.15445621791879804,-0.3124366401792579,1.6063282070874392,True,0.14957328206295628
2009-04-22,756,L25_50_PB5_W9_K7,W9,7,0.13365891672996355,-0.3124366401792579,1.3087275289348521,True,0.1287759808741218
2009-04-22,756,WAIT_NEXT,NONE,0,0.0048829358558417635,0.0,0.03302117649394232,False,0.0
2009-04-22,879,I25_N3_K2,N3,2,0.08530779804090294,-0.21932962036036407,0.6588039884866075,True,0.08010815855910436
2009-04-22,879,I50_N3_K2,N3,2,0.1430162598475493,-0.3021272629437828,1.2850265599376671,True,0.1378166203657507
2009-04-22,879,L25_50_PB5_N3_K2,N3,2,0.16773472328666217,-0.314511159322467,1.6081638794184157,True,0.1625350838048636
2009-04-22,879,I25_W9_K3,W9,3,0.08032873310698285,-0.21932962036036407,0.612312612778698,True,0.07512909362518427
2009-04-22,879,I25_W9_K5,W9,5,0.08530779804090294,-0.21932962036036407,0.6588039884866075,True,0.08010815855910436
2009-04-22,879,I25_W9_K7,W9,7,0.07160636469648884,-0.21932962036036407,0.5335006189489111,True,0.06640672521469027
2009-04-22,879,I50_W9_K3,W9,3,0.13536113417897822,-0.3021272629437828,1.192043808521845,True,0.13016149469717964
2009-04-22,879,I50_W9_K5,W9,5,0.1430162598475493,-0.3021272629437828,1.2850265599376671,True,0.1378166203657507
2009-04-22,879,I50_W9_K7,W9,7,0.12173886233532372,-0.3021272629437828,1.0344198208622757,True,0.11653922285352514
2009-04-22,879,L25_50_PB5_W9_K3,W9,3,0.15951999870473532,-0.314511159322467,1.496781700534676,True,0.15432035922293674
2009-04-22,879,L25_50_PB5_W9_K5,W9,5,0.16773472328666217,-0.314511159322467,1.6081638794184157,True,0.1625350838048636
2009-04-22,879,L25_50_PB5_W9_K7,W9,7,0.14486468414469544,-0.314511159322467,1.3079670771497938,True,0.13966504466289686
2009-04-22,879,WAIT_NEXT,NONE,0,0.005199639481798579,0.0,0.03258141703554718,False,0.0
2009-04-22,1009,I25_N3_K2,N3,2,0.0886824057049318,-0.21502279148807657,0.6170827635651956,True,0.0830666025680904
2009-04-22,1009,I50_N3_K2,N3,2,0.1497544272316942,-0.29937520790863137,1.2019814539126017,True,0.14413862409485279
2009-04-22,1009,L25_50_PB5_N3_K2,N3,2,0.14712647000279122,-0.2978696526586836,1.173663295394841,True,0.14151066686594982
2009-04-22,1009,I25_W9_K3,W9,3,0.0833476440831693,-0.21502279148807657,0.5727686984190239,True,0.0777318409463279
2009-04-22,1009,I25_W9_K5,W9,5,0.0886824057049318,-0.21502279148807657,0.6170827635651956,True,0.0830666025680904
2009-04-22,1009,I25_W9_K7,W9,7,0.07401462246526669,-0.21502279148807657,0.49764767272997634,True,0.06839881932842529
2009-04-22,1009,I50_W9_K3,W9,3,0.14143433540689898,-0.29937520790863137,1.1133533236202573,True,0.13581853227005758
2009-04-22,1009,I50_W9_K5,W9,5,0.1497544272316942,-0.29937520790863137,1.2019814539126017,True,0.14413862409485279
2009-04-22,1009,I50_W9_K7,W9,7,0.1266497693489419,-0.29937520790863137,0.9631112722421562,True,0.1210339662121005
2009-04-22,1009,L25_50_PB5_W9_K3,W9,3,0.13887607995639173,-0.2978696526586836,1.0867001993143535,True,0.13326027681955033
2009-04-22,1009,L25_50_PB5_W9_K5,W9,5,0.14712647000279122,-0.2978696526586836,1.173663295394841,True,0.14151066686594982
2009-04-22,1009,L25_50_PB5_W9_K7,W9,7,0.12421974856743234,-0.2978696526586836,0.9392807072611431,True,0.11860394543059094
2009-04-22,1009,WAIT_NEXT,NONE,0,0.005615803136841402,0.0,0.0321840732177876,False,0.0
