start_date,full_date,age_td,age_bucket,horizon_y,policy,CAGR,MDD,Final,initial_entry_date,add_date,add_qqq_dd
2005-07-01,2002-12-12,642,505_756,3,L25_TO50_PB5_POST,0.03554833463166562,-0.370910046280853,1.110509919074803,2005-07-05,2005-10-11,-0.05339300923208523
2005-07-01,2002-12-12,642,505_756,3,L25_TO100_PB5_POST,0.029150618483711588,-0.5643134086518344,1.0900492700315134,2005-07-05,2005-10-11,-0.05339300923208523
2005-07-01,2002-12-12,642,505_756,3,L50_TO100_PB5_POST,0.031173237936607423,-0.5643134086518344,1.0964904315042476,2005-07-05,2005-10-11,-0.05339300923208523
2005-07-01,2002-12-12,642,505_756,3,L25_TO100_PB5_R63,0.029150618483711588,-0.5643134086518344,1.0900492700315134,2005-07-05,2005-10-11,-0.05339300923208523
2005-07-01,2002-12-12,642,505_756,3,L25_TO100_PB10_R63,0.053242878015811845,-0.5643134086518344,1.1684291990613047,2005-07-05,2006-06-08,-0.10133321394135164
2005-07-01,2002-12-12,642,505_756,3,WAIT_NEXT,0.03981691096776685,0.0,1.1243027682237616,,,
2005-07-01,2002-12-12,642,505_756,5,IMM25,0.1792115247381889,-0.42778900973079537,2.2799059007566473,2005-07-05,,
2005-07-01,2002-12-12,642,505_756,5,IMM50,0.17842374101714542,-0.42778900973079537,2.272301386273691,2005-07-05,,
2005-07-01,2002-12-12,642,505_756,5,IMM100,0.17684341048233154,-0.5643134086518344,2.257107558736041,2005-07-05,,
2005-07-01,2002-12-12,642,505_756,5,L25_TO50_PB5_POST,0.1770873374903934,-0.42778900973079537,2.259447435252523,2005-07-05,2005-10-11,-0.05339300923208523
2005-07-01,2002-12-12,642,505_756,5,L25_TO100_PB5_POST,0.17271704393936305,-0.5643134086518344,2.21781812586015,2005-07-05,2005-10-11,-0.05339300923208523
2005-07-01,2002-12-12,642,505_756,5,L50_TO100_PB5_POST,0.1740998706778225,-0.5643134086518344,2.23092333592594,2005-07-05,2005-10-11,-0.05339300923208523
2005-07-01,2002-12-12,642,505_756,5,L25_TO100_PB5_R63,0.17271704393936305,-0.5643134086518344,2.21781812586015,2005-07-05,2005-10-11,-0.05339300923208523
2005-07-01,2002-12-12,642,505_756,5,L25_TO100_PB10_R63,0.18911865825712404,-0.5643134086518344,2.377290208531128,2005-07-05,2006-06-08,-0.10133321394135164
2005-07-01,2002-12-12,642,505_756,5,WAIT_NEXT,0.17999720922564144,-0.42778900973079537,2.2875104152395913,,,
2005-08-01,2002-12-12,662,505_756,3,IMM25,0.02115920258679993,-0.19207815792188998,1.0648468511957367,2005-08-02,,
2005-08-01,2002-12-12,662,505_756,3,IMM50,0.002218386979771614,-0.34522382184526934,1.0066715998677165,2005-08-02,,
2005-08-01,2002-12-12,662,505_756,3,IMM100,-0.03793302684287003,-0.5643134086518344,0.890437389568151,2005-08-02,,
2005-08-01,2002-12-12,662,505_756,3,L25_TO50_PB5_POST,0.017610401352196714,-0.3709150690974031,1.0537807689983545,2005-08-02,2005-10-11,-0.05339300923208523
2005-08-01,2002-12-12,662,505_756,3,L25_TO100_PB5_POST,0.011323629323740203,-0.5643134086518344,1.0343657032014986,2005-08-02,2005-10-11,-0.05339300923208523
2005-08-01,2002-12-12,662,505_756,3,L50_TO100_PB5_POST,-0.004567167952506779,-0.5643134086518344,0.9863576092557856,2005-08-02,2005-10-11,-0.05339300923208523
2005-08-01,2002-12-12,662,505_756,3,L25_TO100_PB5_R63,0.011323629323740203,-0.5643134086518344,1.0343657032014986,2005-08-02,2005-10-11,-0.05339300923208523
2005-08-01,2002-12-12,662,505_756,3,L25_TO100_PB10_R63,0.03621492078796851,-0.5643134086518344,1.1126563515770789,2005-08-02,2006-06-08,-0.10133321394135164
2005-08-01,2002-12-12,662,505_756,3,WAIT_NEXT,0.039422049169926865,0.0,1.1230221025237568,,,
2005-08-01,2002-12-12,662,505_756,5,IMM25,0.2165040524857622,-0.430919275785555,2.661044973777355,2005-08-02,,
2005-08-01,2002-12-12,662,505_756,5,IMM50,0.20289515008306647,-0.4309192757855549,2.515665419928064,2005-08-02,,
2005-08-01,2002-12-12,662,505_756,5,IMM100,0.1737023155698294,-0.5643134086518344,2.225196926030262,2005-08-02,,
2005-08-01,2002-12-12,662,505_756,5,L25_TO50_PB5_POST,0.21396197326557975,-0.4309192757855549,2.6333909103055215,2005-08-02,2005-10-11,-0.05339300923208523
2005-08-01,2002-12-12,662,505_756,5,L25_TO100_PB5_POST,0.2094499261085785,-0.5643134086518344,2.58487279411232,2005-08-02,2005-10-11,-0.05339300923208523
2005-08-01,2002-12-12,662,505_756,5,L50_TO100_PB5_POST,0.1979948265768703,-0.5643134086518344,2.46490089679073,2005-08-02,2005-10-11,-0.05339300923208523
2005-08-01,2002-12-12,662,505_756,5,L25_TO100_PB5_R63,0.2094499261085785,-0.5643134086518344,2.58487279411232,2005-08-02,2005-10-11,-0.05339300923208523
2005-08-01,2002-12-12,662,505_756,5,L25_TO100_PB10_R63,0.2272497926753556,-0.5643134086518344,2.7805205871444003,2005-08-02,2006-06-08,-0.10133321394135164
2005-08-01,2002-12-12,662,505_756,5,WAIT_NEXT,0.22953075048689708,-0.4309192757855549,2.8064245276266484,,,
2005-09-01,2002-12-12,685,505_756,3,IMM25,0.029132618329799076,-0.20710670812356968,1.0897349970991412,2005-09-02,,
2005-09-01,2002-12-12,685,505_756,3,IMM50,0.019160297680955063,-0.36037891090356966,1.0584392562384606,2005-09-02,,
2005-09-01,2002-12-12,685,505_756,3,IMM100,-0.0013684885021657545,-0.5643134086518345,0.9959103347187256,2005-09-02,,
2005-09-01,2002-12-12,685,505_756,3,L25_TO50_PB5_POST,0.02912086158103322,-0.375588531916624,1.089697743288283,2005-09-02,2005-10-12,-0.05638002960540278
2005-09-01,2002-12-12,685,505_756,3,L25_TO100_PB5_POST,0.029099224221454723,-0.5643134086518344,1.089629182833444,2005-09-02,2005-10-12,-0.05638002960540278
2005-09-01,2002-12-12,685,505_756,3,L50_TO100_PB5_POST,0.019137606584262112,-0.5643134086518344,1.0583687369128647,2005-09-02,2005-10-12,-0.05638002960540278
2005-09-01,2002-12-12,685,505_756,3,L25_TO100_PB5_R63,0.01943971943958922,-0.5643134086518344,1.0593078988674556,2005-09-02,2005-10-11,-0.05339300923208523
2005-09-01,2002-12-12,685,505_756,3,L25_TO100_PB10_R63,0.04397925834903993,-0.5643134086518344,1.1374597207475345,2005-09-02,2006-06-08,-0.10133321394135164
2005-09-01,2002-12-12,685,505_756,3,WAIT_NEXT,0.038916026654850944,0.0,1.1210307379598217,,,
2005-09-01,2002-12-12,685,505_756,5,IMM25,0.20133210114974176,-0.4309192757855549,2.5018949027222916,2005-09-02,,
2005-09-01,2002-12-12,685,505_756,5,IMM50,0.19435049989845,-0.4309192757855549,2.4300438061302887,2005-09-02,,
2005-09-01,2002-12-12,685,505_756,5,IMM100,0.1798914123118882,-0.5643134086518345,2.286485243324295,2005-09-02,,
2005-09-01,2002-12-12,685,505_756,5,L25_TO50_PB5_POST,0.20132388630497688,-0.4309192757855549,2.501809372644117,2005-09-02,2005-10-12,-0.05638002960540278
2005-09-01,2002-12-12,685,505_756,5,L25_TO100_PB5_POST,0.20130876743910098,-0.5643134086518344,2.5016519664371506,2005-09-02,2005-10-12,-0.05638002960540278
2005-09-01,2002-12-12,685,505_756,5,L50_TO100_PB5_POST,0.194334582718922,-0.5643134086518344,2.4298819026017062,2005-09-02,2005-10-12,-0.05638002960540278
2005-09-01,2002-12-12,685,505_756,5,L25_TO100_PB5_R63,0.19454649490770692,-0.5643134086518344,2.4320381006803893,2005-09-02,2005-10-11,-0.05339300923208523
