ticker,episode,age,obs_date,gap,horizon,protocol,ret,mdd,first_entry_wait,fresh_wait
SPY,4,200,1999-08-09,0.06760506774668795,3y,LUMP,0.014387325530532458,-0.1510396438122027,0.0,
SPY,4,200,1999-08-09,0.06760506774668795,3y,HALF,-0.0030424800750685765,-0.09287276978074799,0.0,649.0
SPY,4,200,1999-08-09,0.06760506774668795,3y,WAIT,-0.020472285680669944,-0.03269553843648698,649.0,649.0
SPY,4,200,1999-08-09,0.06760506774668795,3y,DCA3,-0.0035933125436171665,-0.15103964381220258,0.0,
SPY,4,200,1999-08-09,0.06760506774668795,3y,DCA6,-0.031397650833178026,-0.15103964381220258,0.0,
SPY,4,250,1999-10-19,-0.003669532573053691,6m,LUMP,0.13596050392280867,-0.11436686586813305,0.0,
SPY,4,250,1999-10-19,-0.003669532573053691,6m,HALF,0.06798025196140434,-0.06255771273213395,0.0,
SPY,4,250,1999-10-19,-0.003669532573053691,6m,WAIT,0.0,0.0,,
SPY,4,250,1999-10-19,-0.003669532573053691,6m,DCA3,0.05674145553517351,-0.11436686586813316,0.0,
SPY,4,250,1999-10-19,-0.003669532573053691,6m,DCA6,0.03163719427657963,-0.11436686586813327,0.0,
SPY,4,250,1999-10-19,-0.003669532573053691,1y,LUMP,0.049858831230942036,-0.13052612407158792,0.0,
SPY,4,250,1999-10-19,-0.003669532573053691,1y,HALF,0.02492941561547113,-0.0713966909185405,0.0,
SPY,4,250,1999-10-19,-0.003669532573053691,1y,WAIT,0.0,0.0,,
SPY,4,250,1999-10-19,-0.003669532573053691,1y,DCA3,-0.023355701549259145,-0.13052612407158803,0.0,
SPY,4,250,1999-10-19,-0.003669532573053691,1y,DCA6,-0.04655715115322745,-0.13052612407158815,0.0,
SPY,4,250,1999-10-19,-0.003669532573053691,2y,LUMP,0.049858831230942036,-0.13052612407158792,0.0,
SPY,4,250,1999-10-19,-0.003669532573053691,2y,HALF,0.02492941561547113,-0.0713966909185405,0.0,
SPY,4,250,1999-10-19,-0.003669532573053691,2y,WAIT,0.0,0.0,,
SPY,4,250,1999-10-19,-0.003669532573053691,2y,DCA3,-0.023355701549259145,-0.13052612407158803,0.0,
SPY,4,250,1999-10-19,-0.003669532573053691,2y,DCA6,-0.04655715115322745,-0.13052612407158815,0.0,
SPY,4,250,1999-10-19,-0.003669532573053691,3y,LUMP,0.028365821313607986,-0.15103964381220247,0.0,
SPY,4,250,1999-10-19,-0.003669532573053691,3y,HALF,0.003946767816469077,-0.09330525291150715,0.0,599.0
SPY,4,250,1999-10-19,-0.003669532573053691,3y,WAIT,-0.020472285680669944,-0.03269553843648698,599.0,599.0
SPY,4,250,1999-10-19,-0.003669532573053691,3y,DCA3,-0.0433498426355402,-0.1510396438122027,0.0,
SPY,4,250,1999-10-19,-0.003669532573053691,3y,DCA6,-0.06607630553501032,-0.1510396438122028,0.0,
SPY,4,300,1999-12-30,0.10979319684859146,6m,LUMP,-0.013768530624177489,-0.11436686586813327,0.0,
SPY,4,300,1999-12-30,0.10979319684859146,6m,HALF,-0.006884265312088744,-0.05852061676877729,0.0,
SPY,4,300,1999-12-30,0.10979319684859146,6m,WAIT,0.0,0.0,,
SPY,4,300,1999-12-30,0.10979319684859146,6m,DCA3,0.02225204849849538,-0.11436686586813316,0.0,
SPY,4,300,1999-12-30,0.10979319684859146,6m,DCA6,0.0050595913811832816,-0.07443172340122695,0.0,
SPY,4,300,1999-12-30,0.10979319684859146,1y,LUMP,-0.08888872029443373,-0.13052612407158803,0.0,
SPY,4,300,1999-12-30,0.10979319684859146,1y,HALF,-0.044444360147216866,-0.06678918082720353,0.0,
SPY,4,300,1999-12-30,0.10979319684859146,1y,WAIT,0.0,0.0,,
SPY,4,300,1999-12-30,0.10979319684859146,1y,DCA3,-0.05561178991929083,-0.13052612407158803,0.0,
SPY,4,300,1999-12-30,0.10979319684859146,1y,DCA6,-0.07149471607997315,-0.126524935799039,0.0,
SPY,4,300,1999-12-30,0.10979319684859146,2y,LUMP,-0.08888872029443373,-0.13052612407158803,0.0,
SPY,4,300,1999-12-30,0.10979319684859146,2y,HALF,-0.044444360147216866,-0.06678918082720353,0.0,
SPY,4,300,1999-12-30,0.10979319684859146,2y,WAIT,0.0,0.0,,
SPY,4,300,1999-12-30,0.10979319684859146,2y,DCA3,-0.05561178991929083,-0.13052612407158803,0.0,
SPY,4,300,1999-12-30,0.10979319684859146,2y,DCA6,-0.07149471607997315,-0.126524935799039,0.0,
SPY,4,300,1999-12-30,0.10979319684859146,3y,LUMP,-0.10754125069944687,-0.1510396438122028,0.0,
SPY,4,300,1999-12-30,0.10979319684859146,3y,HALF,-0.06400676819005835,-0.08880644792544179,0.0,549.0
SPY,4,300,1999-12-30,0.10979319684859146,3y,WAIT,-0.020472285680669944,-0.03269553843648698,549.0,549.0
SPY,4,300,1999-12-30,0.10979319684859146,3y,DCA3,-0.0749455751495196,-0.1510396438122027,0.0,
SPY,4,300,1999-12-30,0.10979319684859146,3y,DCA6,-0.09050334150839545,-0.14713285567850454,0.0,
SPY,4,325,2000-02-04,0.0638502156504499,6m,LUMP,0.03125908947927547,-0.11436686586813327,0.0,
SPY,4,325,2000-02-04,0.0638502156504499,6m,HALF,0.015629544739637735,-0.0593657639195434,0.0,
SPY,4,325,2000-02-04,0.0638502156504499,6m,WAIT,0.0,0.0,,
SPY,4,325,2000-02-04,0.0638502156504499,6m,DCA3,0.028194737360587308,-0.10841928982882743,0.0,
SPY,4,325,2000-02-04,0.0638502156504499,6m,DCA6,0.01823237066902572,-0.06053685708135803,0.0,
SPY,4,325,2000-02-04,0.0638502156504499,1y,LUMP,-0.0615282417282631,-0.13052612407158815,0.0,
SPY,4,325,2000-02-04,0.0638502156504499,1y,HALF,-0.030764120864131606,-0.06775374150675251,0.0,
SPY,4,325,2000-02-04,0.0638502156504499,1y,WAIT,0.0,0.0,,
SPY,4,325,2000-02-04,0.0638502156504499,1y,DCA3,-0.06431687937531749,-0.1265249357990389,0.0,
SPY,4,325,2000-02-04,0.0638502156504499,1y,DCA6,-0.07338288410774463,-0.1265249357990389,0.0,
SPY,4,325,2000-02-04,0.0638502156504499,2y,LUMP,-0.0615282417282631,-0.13052612407158815,0.0,
SPY,4,325,2000-02-04,0.0638502156504499,2y,HALF,-0.030764120864131606,-0.06775374150675251,0.0,
SPY,4,325,2000-02-04,0.0638502156504499,2y,WAIT,0.0,0.0,,
SPY,4,325,2000-02-04,0.0638502156504499,2y,DCA3,-0.06431687937531749,-0.1265249357990389,0.0,
SPY,4,325,2000-02-04,0.0638502156504499,2y,DCA6,-0.07338288410774463,-0.1265249357990389,0.0,
SPY,4,325,2000-02-04,0.0638502156504499,3y,LUMP,-0.08074090366684272,-0.1510396438122028,0.0,
SPY,4,325,2000-02-04,0.0638502156504499,3y,HALF,-0.05060659467375639,-0.08974825169982226,0.0,524.0
SPY,4,325,2000-02-04,0.0638502156504499,3y,WAIT,-0.020472285680669944,-0.03269553843648698,524.0,524.0
SPY,4,325,2000-02-04,0.0638502156504499,3y,DCA3,-0.08347245152732674,-0.14713285567850454,0.0,
SPY,4,325,2000-02-04,0.0638502156504499,3y,DCA6,-0.09235285442088925,-0.14713285567850443,0.0,
SPY,4,350,2000-03-13,0.023456350937894,6m,LUMP,0.07876580861458948,-0.11436686586813316,0.0,
SPY,4,350,2000-03-13,0.023456350937894,6m,HALF,0.03938290430729463,-0.06003024383305988,0.0,
SPY,4,350,2000-03-13,0.023456350937894,6m,WAIT,0.0,0.0,,
SPY,4,350,2000-03-13,0.023456350937894,6m,DCA3,0.044079536850768264,-0.07258100423782166,0.0,
SPY,4,350,2000-03-13,0.023456350937894,6m,DCA6,0.030634233917880227,-0.0508061865330357,0.0,
SPY,4,350,2000-03-13,0.023456350937894,1y,LUMP,-0.03941896232033826,-0.13052612407158815,0.0,
SPY,4,350,2000-03-13,0.023456350937894,1y,HALF,-0.01970948116016913,-0.06851210790051843,0.0,
SPY,4,350,2000-03-13,0.023456350937894,1y,WAIT,0.0,0.0,,
SPY,4,350,2000-03-13,0.023456350937894,1y,DCA3,-0.0703051608428148,-0.126524935799039,0.0,
SPY,4,350,2000-03-13,0.023456350937894,1y,DCA6,-0.0822774563494526,-0.1265249357990389,0.0,
SPY,4,350,2000-03-13,0.023456350937894,2y,LUMP,-0.030379718512622,-0.1365495969207119,0.0,
SPY,4,350,2000-03-13,0.023456350937894,2y,HALF,-0.01048476751852745,-0.07496519658171374,0.0,499.0
SPY,4,350,2000-03-13,0.023456350937894,2y,WAIT,0.009410183475567102,-0.0069277214829392975,499.0,499.0
SPY,4,350,2000-03-13,0.023456350937894,2y,DCA3,-0.061556561830057865,-0.13257612776611583,0.0,
