policy,form,exit_ma,slope_lb,n,campaigns,CAGR_Median,CAGR_Min,MDD_Median,MDD_Worst,WinRate,DiffCAGR_Median,DiffCAGR_Min
L25_50_PB3_XMA90_S30,L25_50_PB3,90,30,9,3,0.0026890972566873117,-0.03318753810659114,-0.12464557367143847,-0.32845069326881793,0.4444444444444444,-0.009369182644400897,-0.07538491750634391
L25_50_PB3_XMA90_S50,L25_50_PB3,90,50,9,3,0.04938229878688083,-0.0738887169334197,-0.20979463804270249,-0.3539292214503984,0.5555555555555556,0.004513616684773014,-0.11608609633317246
L25_50_PB5_XMA100_S10,L25_50_PB5,100,10,9,3,0.012007720291173252,-0.04261339637447159,-0.09851086451756508,-0.3379721903791204,0.4444444444444444,-0.006453527879194065,-0.08481077577422436
L25_50_PB5_XMA100_S20,L25_50_PB5,100,20,9,3,0.04938229878688083,-0.03357910097014494,-0.13025451137931476,-0.33911969720114166,0.5555555555555556,0.004513616684773014,-0.0757764803698977
L25_50_PB5_XMA100_S30,L25_50_PB5,100,30,9,3,0.04938229878688083,-0.05529605880465083,-0.21963081307998122,-0.3476908910244205,0.5555555555555556,0.004513616684773014,-0.09749343820440359
L25_50_PB5_XMA100_S50,L25_50_PB5,100,50,9,3,0.04938229878688083,-0.05285833898559744,-0.2197948683309494,-0.3654299889106395,0.5555555555555556,0.004513616684773014,-0.09505571838535021
L25_50_PB5_XMA110_S10,L25_50_PB5,110,10,9,3,0.04938229878688083,-0.010190991751696576,-0.14613189872800503,-0.314511159322467,0.5555555555555556,0.004513616684773014,-0.050681166971900615
L25_50_PB5_XMA110_S20,L25_50_PB5,110,20,9,3,0.04938229878688083,-0.04437245041490001,-0.14792964260961528,-0.3392750807077686,0.5555555555555556,0.004513616684773014,-0.08656982981465278
L25_50_PB5_XMA110_S30,L25_50_PB5,110,30,9,3,0.04938229878688083,-0.03477656076346414,-0.21963081307998122,-0.33911969720114166,0.5555555555555556,0.004513616684773014,-0.0769739401632169
L25_50_PB5_XMA110_S50,L25_50_PB5,110,50,9,3,0.04938229878688083,-0.03493185338312699,-0.21963081307998122,-0.3654299889106395,0.5555555555555556,0.004513616684773014,-0.07976323099151295
L25_50_PB5_XMA120_S10,L25_50_PB5,120,10,9,3,0.010261352075824792,-0.006756409596058943,-0.13005751356015582,-0.2978696526586836,0.6666666666666666,0.004513616684773014,-0.04944176729900318
L25_50_PB5_XMA120_S20,L25_50_PB5,120,20,9,3,0.04938229878688083,-0.037968873190932784,-0.21963081307998122,-0.3342836731360148,0.5555555555555556,0.004513616684773014,-0.08016625259068555
L25_50_PB5_XMA120_S30,L25_50_PB5,120,30,9,3,0.04938229878688083,-0.03357910097014494,-0.21963081307998122,-0.33911969720114166,0.5555555555555556,0.004513616684773014,-0.0757764803698977
L25_50_PB5_XMA120_S50,L25_50_PB5,120,50,9,3,0.05470579970811751,-0.02872610022417843,-0.22243178859780188,-0.3654299889106395,0.5555555555555556,0.008196406138721857,-0.07355747783256439
L25_50_PB5_XMA130_S10,L25_50_PB5,130,10,9,3,0.007371563379873658,-0.019325282221153484,-0.14434740020928305,-0.2978696526586836,0.4444444444444444,-0.004617347931477944,-0.05793067392519935
L25_50_PB5_XMA130_S20,L25_50_PB5,130,20,9,3,-0.0014450671940591242,-0.01906194468500444,-0.1477552582097451,-0.3378161244552317,0.3333333333333333,-0.00872138127828892,-0.061259324084757205
L25_50_PB5_XMA130_S30,L25_50_PB5,130,30,9,3,-0.005416250903711561,-0.03805180886076487,-0.1817351333985,-0.33911969720114166,0.3333333333333333,-0.01313518144191872,-0.08288318646915083
L25_50_PB5_XMA130_S50,L25_50_PB5,130,50,9,3,0.046755210828660854,-0.038003723323117966,-0.2405136498870225,-0.3654299889106395,0.5555555555555556,0.0018865287265530384,-0.08283510093150392
L25_50_PB5_XMA90_S10,L25_50_PB5,90,10,9,3,0.010173303474044992,-0.009234991132047066,-0.09527323079522532,-0.29129880651729423,0.3333333333333333,-0.006683752123865072,-0.054066368740433024
L25_50_PB5_XMA90_S20,L25_50_PB5,90,20,9,3,0.012484976466364373,-0.04437245041490001,-0.09851086451756508,-0.3392750807077686,0.4444444444444444,-0.0009151744741600076,-0.08656982981465278
L25_50_PB5_XMA90_S30,L25_50_PB5,90,30,9,3,0.01238880111172258,-0.014678473191491626,-0.11150161880958132,-0.33911969720114166,0.4444444444444444,-0.006163571469996132,-0.05687585259124439
L25_50_PB5_XMA90_S50,L25_50_PB5,90,50,9,3,0.04938229878688083,-0.058106061245339236,-0.21963081307998122,-0.3654299889106395,0.5555555555555556,0.004513616684773014,-0.100303440645092
L25_50_PB75_XMA100_S10,L25_50_PB75,100,10,9,3,0.02245202122204648,-0.062282916822192114,-0.08241817389431771,-0.32525344005023094,0.4444444444444444,-0.0023972935664207107,-0.10448029622194488
L25_50_PB75_XMA100_S20,L25_50_PB75,100,20,9,3,0.04938229878688083,-0.053920842519234125,-0.09151093478049721,-0.32635212988377194,0.5555555555555556,0.004513616684773014,-0.09611822191898689
L25_50_PB75_XMA100_S30,L25_50_PB75,100,30,9,3,0.04938229878688083,-0.07402066942858232,-0.22594073173464913,-0.334585309660529,0.5555555555555556,0.004513616684773014,-0.11621804882833509
L25_50_PB75_XMA100_S50,L25_50_PB75,100,50,9,3,0.04938229878688083,-0.07176468201627928,-0.22610949980297967,-0.35166705249394403,0.5555555555555556,0.004513616684773014,-0.11396206141603205
L25_50_PB75_XMA110_S10,L25_50_PB75,110,10,9,3,0.04938229878688083,-0.025830314934250698,-0.14025669172587962,-0.3185266113812938,0.5555555555555556,0.004513616684773014,-0.06802769433400346
L25_50_PB75_XMA110_S20,L25_50_PB75,110,20,9,3,0.04938229878688083,-0.06391100013144435,-0.14210079562691458,-0.326501783074881,0.5555555555555556,0.004513616684773014,-0.10610837953119712
L25_50_PB75_XMA110_S30,L25_50_PB75,110,30,9,3,0.04938229878688083,-0.055029243110184534,-0.22594073173464913,-0.32635212988377194,0.5555555555555556,0.004513616684773014,-0.0972266225099373
L25_50_PB75_XMA110_S50,L25_50_PB75,110,50,9,3,0.04938229878688083,-0.04898327075985842,-0.22594073173464913,-0.35166705249394403,0.5555555555555556,0.004513616684773014,-0.09118065015961119
L25_50_PB75_XMA120_S10,L25_50_PB75,120,10,9,3,0.016412541958740645,-0.0045447923615684616,-0.0762267924930683,-0.25747676512793205,0.5555555555555556,0.004513616684773014,-0.0450349675817725
L25_50_PB75_XMA120_S20,L25_50_PB75,120,20,9,3,0.04938229878688083,-0.05798407123488658,-0.22594073173464913,-0.3217042356230927,0.5555555555555556,0.004513616684773014,-0.10018145063463935
L25_50_PB75_XMA120_S30,L25_50_PB75,120,30,9,3,0.04938229878688083,-0.053920842519234125,-0.22594073173464913,-0.32635212988377194,0.5555555555555556,0.004513616684773014,-0.09611822191898689
L25_50_PB75_XMA120_S50,L25_50_PB75,120,50,9,3,0.05470579970811751,-0.04898327075985842,-0.22882229061169534,-0.35166705249394403,0.5555555555555556,0.008196406138721857,-0.09118065015961119
L25_50_PB75_XMA130_S10,L25_50_PB75,130,10,9,3,0.00632963220935201,-0.017602884714890576,-0.12902458065544353,-0.28031756552206166,0.4444444444444444,-0.004617347931477944,-0.05081387914543678
L25_50_PB75_XMA130_S20,L25_50_PB75,130,20,9,3,0.0029390500531361052,-0.04048239662096487,-0.14193176697535526,-0.32510312960840637,0.3333333333333333,-0.00872138127828892,-0.08267977602071763
L25_50_PB75_XMA130_S30,L25_50_PB75,130,30,9,3,-0.00034374828756178477,-0.055029243110184534,-0.14193176697535526,-0.32635212988377194,0.3333333333333333,-0.011010907504546141,-0.0972266225099373
L25_50_PB75_XMA130_S50,L25_50_PB75,130,50,9,3,0.046755210828660854,-0.04898327075985842,-0.24153858912523574,-0.35166705249394403,0.5555555555555556,0.0018865287265530384,-0.09118065015961119
L25_50_PB75_XMA90_S10,L25_50_PB75,90,10,9,3,0.010636352753766065,-0.008616499745684014,-0.07534012923459488,-0.28031756552206166,0.3333333333333333,-0.004100322660734346,-0.05081387914543678
L25_50_PB75_XMA90_S20,L25_50_PB75,90,20,9,3,0.015788034317743227,-0.06391100013144435,-0.07645301201250387,-0.326501783074881,0.5555555555555556,0.004513616684773014,-0.10610837953119712
L25_50_PB75_XMA90_S30,L25_50_PB75,90,30,9,3,0.01494441012647063,-0.03642429194933261,-0.08241817389431771,-0.32635212988377194,0.4444444444444444,-0.0023972935664207107,-0.07862167134908538
L25_50_PB75_XMA90_S50,L25_50_PB75,90,50,9,3,0.04938229878688083,-0.0766211186141934,-0.22594073173464913,-0.35166705249394403,0.5555555555555556,0.004513616684773014,-0.11881849801394617
