date,reason,target,price,notional,fee,campaign_full_date,start_date,age_td,policy
2006-06-13,INITIAL,0.25,0.356891,0.2500474404768338,0.0001250237202384169,2002-12-12,2006-06-12,879,HOLD25
2008-02-13,BASE_V7_EXIT,0.0,0.446508,-0.31283552275745286,0.00015641776137872643,2002-12-12,2006-06-12,879,HOLD25
2006-06-13,INITIAL,0.5,0.356891,0.5000948809536676,0.0002500474404768338,2002-12-12,2006-06-12,879,HOLD50
2008-02-13,BASE_V7_EXIT,0.0,0.446508,-0.6256710455149057,0.00031283552275745285,2002-12-12,2006-06-12,879,HOLD50
2006-06-13,INITIAL,1.0,0.356891,0.9996899169488609,0.0004998449584744304,2002-12-12,2006-06-12,879,HOLD100
2008-02-13,BASE_V7_EXIT,0.0,0.446508,-1.2507167326634798,0.0006253583663317399,2002-12-12,2006-06-12,879,HOLD100
2006-06-13,INITIAL,0.25,0.356891,0.2500474404768338,0.0001250237202384169,2002-12-12,2006-06-12,879,I25_X60_3D
2006-06-14,EARLY_EXIT_MA60_3D,0.0,0.367654,-0.25758828796767036,0.0001287941439838352,2002-12-12,2006-06-12,879,I25_X60_3D
2006-06-13,INITIAL,0.25,0.356891,0.2500474404768338,0.0001250237202384169,2002-12-12,2006-06-12,879,I25_X80_3D
2006-06-14,EARLY_EXIT_MA80_3D,0.0,0.367654,-0.25758828796767036,0.0001287941439838352,2002-12-12,2006-06-12,879,I25_X80_3D
2006-06-13,INITIAL,0.25,0.356891,0.2500474404768338,0.0001250237202384169,2002-12-12,2006-06-12,879,I25_X100_3D
2006-06-14,EARLY_EXIT_MA100_3D,0.0,0.367654,-0.25758828796767036,0.0001287941439838352,2002-12-12,2006-06-12,879,I25_X100_3D
2006-06-13,INITIAL,0.25,0.356891,0.2500474404768338,0.0001250237202384169,2002-12-12,2006-06-12,879,I25_X110NEG20
2006-06-14,EARLY_EXIT_MA110_NEG20,0.0,0.367654,-0.25758828796767036,0.0001287941439838352,2002-12-12,2006-06-12,879,I25_X110NEG20
