strategy,trend_ma,slope_lb,yellow_buy_cap,red_dd,red_target,rec_fast_ma,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,InvestedDayPct,AvgWeight,TradeCount,score
V3_M200_S20_YBC80_RD25_RT0_RF60,200,20,0.8,-0.25,0.0,60,0.02688266695347985,-0.3070231772333023,0.08755908005294374,2.059629940246744,2692,-0.1991590570817211,-0.3070231772333023,0.1630401474434855,-0.10354783483194097,0.001836885240850572,0.0,0.043339132882172615,-0.1909084433360697,0.4669611184885951,-0.1909084433360697,0.02377295026372117,-0.1909084433360697,0.05735551663747811,0.024260015782016184,250,-0.17014279604527044
V3_M200_S20_YBC60_RD25_RT0_RF60,200,20,0.6,-0.25,0.0,60,0.02688266695347985,-0.3070231772333023,0.08755908005294374,2.059629940246744,2692,-0.1991590570817211,-0.3070231772333023,0.1630401474434855,-0.10354783483194097,0.001836885240850572,0.0,0.043339132882172615,-0.1909084433360697,0.4669611184885951,-0.1909084433360697,0.02377295026372117,-0.1909084433360697,0.05735551663747811,0.024260015782016184,250,-0.17014279604527044
V3_M200_S20_YBC70_RD25_RT0_RF60,200,20,0.7,-0.25,0.0,60,0.02688266695347985,-0.3070231772333023,0.08755908005294374,2.059629940246744,2692,-0.1991590570817211,-0.3070231772333023,0.1630401474434855,-0.10354783483194097,0.001836885240850572,0.0,0.043339132882172615,-0.1909084433360697,0.4669611184885951,-0.1909084433360697,0.02377295026372117,-0.1909084433360697,0.05735551663747811,0.024260015782016184,250,-0.17014279604527044
V3_M200_S40_YBC80_RD25_RT0_RF60,200,40,0.8,-0.25,0.0,60,0.02688266695347985,-0.3070231772333023,0.08755908005294374,2.059629940246744,2692,-0.1991590570817211,-0.3070231772333023,0.1630401474434855,-0.10354783483194097,0.001836885240850572,0.0,0.043339132882172615,-0.1909084433360697,0.4669611184885951,-0.1909084433360697,0.02377295026372117,-0.1909084433360697,0.05735551663747811,0.024260015782016184,250,-0.17014279604527044
V3_M200_S40_YBC50_RD25_RT0_RF60,200,40,0.5,-0.25,0.0,60,0.02688266695347985,-0.3070231772333023,0.08755908005294374,2.059629940246744,2692,-0.1991590570817211,-0.3070231772333023,0.1630401474434855,-0.10354783483194097,0.001836885240850572,0.0,0.043339132882172615,-0.1909084433360697,0.4669611184885951,-0.1909084433360697,0.02377295026372117,-0.1909084433360697,0.05735551663747811,0.024260015782016184,250,-0.17014279604527044
V3_M200_S20_YBC50_RD25_RT0_RF60,200,20,0.5,-0.25,0.0,60,0.02688266695347985,-0.3070231772333023,0.08755908005294374,2.059629940246744,2692,-0.1991590570817211,-0.3070231772333023,0.1630401474434855,-0.10354783483194097,0.001836885240850572,0.0,0.043339132882172615,-0.1909084433360697,0.4669611184885951,-0.1909084433360697,0.02377295026372117,-0.1909084433360697,0.05735551663747811,0.024260015782016184,250,-0.17014279604527044
V3_M200_S40_YBC70_RD25_RT0_RF60,200,40,0.7,-0.25,0.0,60,0.02688266695347985,-0.3070231772333023,0.08755908005294374,2.059629940246744,2692,-0.1991590570817211,-0.3070231772333023,0.1630401474434855,-0.10354783483194097,0.001836885240850572,0.0,0.043339132882172615,-0.1909084433360697,0.4669611184885951,-0.1909084433360697,0.02377295026372117,-0.1909084433360697,0.05735551663747811,0.024260015782016184,250,-0.17014279604527044
V3_M200_S20_YBC80_RD20_RT0_RF40,200,20,0.8,-0.2,0.0,40,0.03288603056610784,-0.3012121566579363,0.10917896186857423,2.4140212602648146,3891,-0.2235389984430337,-0.3012121566579363,0.05886464562933691,-0.2844538565154846,0.0018368852408514602,0.0,-0.04986774576020181,-0.19324338096530846,0.9478314622424822,-0.19324338096530846,0.04172553583501437,-0.19324338096530846,0.10741389375364857,0.04117402122351351,313,-0.17840475019114452
V3_M200_S20_YBC70_RD20_RT0_RF40,200,20,0.7,-0.2,0.0,40,0.03288603056610784,-0.3012121566579363,0.10917896186857423,2.4140212602648146,3891,-0.2235389984430337,-0.3012121566579363,0.05886464562933691,-0.2844538565154846,0.0018368852408514602,0.0,-0.04986774576020181,-0.19324338096530846,0.9478314622424822,-0.19324338096530846,0.04172553583501437,-0.19324338096530846,0.10741389375364857,0.04117402122351351,313,-0.17840475019114452
V3_M200_S40_YBC60_RD20_RT0_RF40,200,40,0.6,-0.2,0.0,40,0.03288603056610784,-0.3012121566579363,0.10917896186857423,2.4140212602648146,3891,-0.2235389984430337,-0.3012121566579363,0.05886464562933691,-0.2844538565154846,0.0018368852408514602,0.0,-0.04986774576020181,-0.19324338096530846,0.9478314622424822,-0.19324338096530846,0.04172553583501437,-0.19324338096530846,0.10741389375364857,0.04117402122351351,313,-0.17840475019114452
