date,mode,reason,target_weight,price,notional,fee,cash_after,shares_after,avg_cost_after,strategy
2020-09-09,C,dip_-10%_to_35%,0.35,15.767988204956056,1.1365314875326231,0.0005682657437663115,3.9045667260778756,0.13335658095782604,15.202288295977615,C_V1
2021-01-21,C,TP_50,0.0,24.22207260131836,-3.2301727858240517,0.0016150863929120258,7.134295194373035,0.0,,C_V1
2021-02-26,C,dip_-6%_to_15%,0.15,21.30415344238281,1.070187510420247,0.0005350937552101234,6.063860798626189,0.050233749644855615,21.314805519104002,C_V1
2021-03-09,C,dip_-10%_to_35%,0.35,20.44453430175781,1.454816493417761,0.0007274082467088805,4.608370798152297,0.12139293928179817,20.810654398733377,C_V1
2021-07-13,C,TP_50,0.0,31.20884132385254,-3.788532979881705,0.0018942664899408526,8.395280718346296,0.0,,C_V1
2021-10-01,C,dip_-6%_to_15%,0.15,30.28713798522949,1.2594052991206117,0.0006297026495603058,7.136000325700573,0.04158218250053213,30.302281554222105,C_V1
2022-01-28,C,dip_-10%_to_35%,0.35,26.920312881469727,1.7704903605243392,0.0008852451802621696,5.36606395603824,0.1073500050485024,28.238569770957486,C_V1
2022-03-09,C,dip_-15%_to_60%,0.6,22.27360725402832,2.2642170714712258,0.001132108535735613,3.1023938398906146,0.20900471439342577,25.34277661082435,C_V1
2022-05-10,C,RED_enter,0.0,15.076711654663086,-3.151103813374892,0.001575551906687446,6.255265701498027,0.0,,C_V1
2022-08-03,C,recovery_MA60_5d,0.25,17.02039909362793,1.5696057090662716,0.0007848028545331358,4.708032324344281,0.09221908960136535,17.028909293174745,C_V1
2022-08-04,C,recovery_MA120,0.5,17.26395606994629,1.5582098139143992,0.0007791049069571996,3.149497020695854,0.18247707030991145,17.149439244214925,C_V1
2022-08-08,C,recovery_MA120,0.5,16.68132781982422,0.053067812062665976,2.653390603133299e-05,3.09700110759738,0.18565834056824182,17.141561036096235,C_V1
2022-08-10,C,recovery_MA120,0.5,17.43110466003418,-0.06930532788705968,3.465266394352984e-05,3.1668899849022893,0.18168238326440198,17.141561036096235,C_V1
2022-08-12,C,recovery_MA120,0.5,18.137901306152344,-0.06390781369021159,3.1953906845105794e-05,3.2313973691192106,0.1781589428943447,17.141561036096235,C_V1
2022-08-18,C,recovery_MA120,0.5,17.932546615600586,0.018929636064586308,9.464818032293154e-06,3.2137637196855127,0.17921454511696033,17.146272879955017,C_V1
